Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,deployment,n_samples,num_shots,prompt_name,seed,segmenter,split,temperature,exact_match/mean,f1_score/mean,negative_ratio/mean,positive_ratio/mean,precision/mean,recall/mean
2024-09-08 21:12:51,23.4min,65a382ca44d64050b328103d9f5de886,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,2,nbme,test,0.1,0.8252,0.9076828693500955,0.9018,1.0133,0.8734333333333334,0.9556999999999999
2024-09-08 21:06:48,22.3min,7ca980a468b641f5a9c1472b407f59e7,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,3,spacy,test,0.1,0.7569,0.9197849770436191,0.9072666666666667,0.9971666666666666,0.8862333333333333,0.9656999999999999
2024-09-08 20:49:04,23.8min,cc5b993c3edf4bfab2cc08e613b101f9,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,1,nbme,test,0.1,0.8253333333333334,0.9065822563453994,0.8922000000000001,1.0360666666666667,0.864,0.9642333333333333
2024-09-08 20:44:21,22.5min,77223287a8714640aeb2e872e7f4a5ce,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,2,spacy,test,0.1,0.7637,0.9242864370838995,0.9130333333333334,0.9996666666666666,0.891,0.9699333333333334
2024-09-08 20:25:29,23.6min,8af25a2d801c4bd4b935ca479663628c,Meta-Llama-3.1-70B-Instruct-loft-5shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,5,loft,5,nbme,test,0.1,0.8170999999999999,0.9027594729857541,0.8940333333333332,1.0233,0.8604333333333333,0.9604999999999999
2024-09-08 20:21:50,22.5min,cb48794fe8b3485db1435191762421da,Meta-Llama-3.1-70B-Instruct-loft-8shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,8,loft,1,spacy,test,0.1,0.7547666666666667,0.923935677688111,0.8969666666666666,1.0120333333333333,0.8841000000000001,0.9765666666666668
2024-09-08 20:02:03,23.4min,dd2657752cb44b2aaac91b19e3907605,Meta-Llama-3.1-70B-Instruct-loft-5shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,5,loft,4,nbme,test,0.1,0.8078666666666667,0.8948002308332732,0.8935666666666666,1.0133666666666665,0.8570333333333334,0.9495000000000001
2024-09-08 19:59:26,22.4min,c444a8eb368349309f034babcbf483be,Meta-Llama-3.1-70B-Instruct-loft-5shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,5,loft,5,spacy,test,0.1,0.7479,0.9178560915178735,0.8961333333333332,0.9867,0.8834333333333334,0.9664999999999999
2024-09-08 19:38:27,23.6min,d9416b1c0c0042cfa35a9db5936ed6d4,Meta-Llama-3.1-70B-Instruct-loft-5shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,5,loft,3,nbme,test,0.1,0.8214333333333333,0.8987957362106954,0.9108999999999999,1.0041,0.8678666666666667,0.9438
2024-09-08 19:37:12,22.2min,f7a9187d64c146b799a85f472489c88a,Meta-Llama-3.1-70B-Instruct-loft-5shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,5,loft,4,spacy,test,0.1,0.7487,0.9178871107675796,0.8986666666666667,1.0110000000000001,0.8794333333333333,0.9709
